Human\Model,ACCOUNT_ACCESS,APP_USAGE,CANCELLATION,DELIVERY_LATE,DELIVERY_MISSING,DELIVERY_TRACKING,DEVICE_ISSUE,ORDER_MODIFY,ORDER_STATUS,OTHER,PAYMENT_ISSUE,PRODUCT_ISSUE,REFUND_REQUEST,RETURN_REQUEST,VIDEO_STREAMING
ACCOUNT_ACCESS,4,3,0,2,1,0,0,0,0,5,0,0,0,0,0
APP_USAGE,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0
CANCELLATION,0,0,6,0,0,0,0,0,2,2,0,0,0,0,0
DELIVERY_LATE,0,1,0,29,2,0,0,0,0,18,0,0,0,0,0
DELIVERY_MISSING,0,0,0,4,3,0,2,0,2,10,0,0,1,0,0
DELIVERY_TRACKING,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0
DEVICE_ISSUE,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0
ORDER_MODIFY,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ORDER_STATUS,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0
OTHER,0,0,0,1,0,0,0,0,0,29,0,0,0,0,1
PAYMENT_ISSUE,0,0,0,1,1,0,1,0,0,4,9,0,0,0,0
PRODUCT_ISSUE,0,2,0,2,1,0,0,0,0,8,0,1,0,0,1
REFUND_REQUEST,0,0,0,1,1,0,0,0,1,2,1,0,3,2,0
RETURN_REQUEST,0,0,0,2,0,0,0,0,0,1,0,0,0,8,0
VIDEO_STREAMING,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4
